name,id,description,friends,followers,location,tweet,flag
Abigail,ahbeegail12,All of the birds died in 1986 due to Reagan killing them and replacing them with spies that are now watching us. The birds work for the bourgeoisie.,512,181,,Im ready for my Spotify wrapped to remind me how depressing 2020 was,1
KrisZeeTee,KrisZeeTee,Partnered streamer for @Twitch | full time roblox pro | 54K+ Subs on YouTube | Business Inquiries : kriszeeteebusiness@gmail.com,508,30562,"Nevada, USA",Please check up on your friends treat people kindly you never know what someone is going through Suicide isnt a,0
BigBoiJohnJohnson,BigBoiJohnJohn1,Just a alt for stuffs,145,10,,ARandomGayWolf Yeah its depressing to see such a place used for that,1
@believersministry1,ojeagaozed,"#BELiEVERS Ministry-helping BELiEVERS al around d world 2no their right of Sonship,Reclaiming, Recovering &Restoring al by faith thru d word of God #OzedProverb",730,434,Nigeria ,raychellered This is a more depressing news lol,0
HONITEL 👑,Honitelz,I'm here strictly for the CRUISE|||👑,7413,8263,PortHarcourt 🌐🌎🌍,I remember my first heartbreak Omo I was just depressed I was reading the break up message while cooking and wa,1
Uncle Roger's Niece💜🍚,Nesu_Leigh,"Content Creator @lemonde_deleigh (IG) 
Alexa play Murenje by T.shoc",439,1160,momma's house ,You lot had a bro going through depression and questioning his faith You lot are the type of people that make peop,1
🎄alf🎄,ScribeElder,fan tweeter. 19. C.of.B. he/him,450,274,,CW sucideImagine if Havers and Captain made a suicide pact but then Havers got sucked off lmao,0
nntan,naturegreenfer1,,29,3,,ANCALERTS Generalbring in your suicide squad,0
AJ,asia_tierra13,,635,1015,the tum. ,I havent left my bed since 5pm seasonal depression or just my regular depression,1
MrWander,MrWanderTV,Who do you think you are? Wander.... Mr Wander.,11,2,"Honolulu, HI",raeisbabie Why you depressed tho,1
♡☆*:.｡𝒶𝓂𝑜𝓊𝓇 *:･๑♡｡･,wolfieangie_,nobody cares my g. (she/her),772,1143,California ,my depression kicking my ass rn i feel like im drowning,1
Summer Child,missamaks,Travel Consultant • Lover of Beauty • Minister of Enjoyment• Mother of Dragons 🐉,291,592,Worldwide,HLBlue John Legend because his own still has hope Adele na suicide sturvs,0
ʙʀɪᴛᴛ✩,Brittsmilezz,,244,264,,Why was everyone depressed their sophomore yr,1
Brandon Killinger,blkillin18,,83,13,,There are MILLIONS of Americans who still have no idea that my fellow brothers and sisters in arms are committing,0
Tap,Tapperonis,"Its a doggy dog world, you either meme or be memed",69,54,under your bed,FeriVanyi We covered this alreadyTransition is intended to and does reduce gender dysphoria It is not a cure,0
hypegodextreme,supremdotxSMP,The Official Twitter account of Earth Force One. Weeb Ambassador. 五毛党. Xiist. DDS. 白左 are cringe.,519,77,Kamurocho/Zhongnanhai/Odaiba,SiegfeldKaslana oggy190 globaltimesnews Suicide is the reason ofc for the pause but the N word dropping seems a bit overkill,0
Jayne Of Vengeful Desk Plains,Babyesco_,Don't take my tweets out of context.,620,1085,"Dallas, TX",Almost December so that means its almost time for me to depression binge monster inc incorporated,0
jonathan 🌧️🎵,jona_valk,19. sad,100,139,constant state of depression,being between not really too depressed and not happy is a weird time,1
Josh,bowronmoron97,,294,91,,Hey kids let it be known that it shouldnt take someone taking their life for people to be more aware about suicid,0
Karan Kukreja,kukki1411,Cricketer!! Entertainer!!! Rahul Dravid Fan!! Sports Lover!! Pursuing CA,1675,679,"Bengaluru, India",Whenever BJP wins its so fun to see the depressed faces of these wannabe celebrities,0
(((Jen Dowling 🌏))),jendowli,"Overworked mother, academic, Yiddishist, booklover and rabid TV fan.",552,515,Sydney,ShuliElisheva Remember this always depression lies,1
PGSL,PGSL7,,21,0,,ZavalaA kron4news We The People need to speak out enough is enough Well never get immune to this virus if were,0
Dinamjoon ᴮᴱ⁷,HopeTiddy,She/her,1623,740,,my reason to be depressed is STOOPID GET YOUR ASS UP DINAWORLD DIDNT ENDIT AINT THAT IMPORTANT,1
Pooja 🦋🦋🦋,creatingmyworld,"Smitten by life,poetry, nature and music...",1235,608,Mumbai,SCGrantBailToArnabSSRAwaitsJusticeHis suicide note sounded like a professionally written email more of a stink,0
Garcia,PenelopeGarcia_,Penelope Garcia is the BAU's Technical Analyst. ♠♦♣♥♤♢♧♡♠♦♣♥(bot) criminal minds,4747,3838,Behavioral Analysis Unit (BAU),only to have it interrupted by the subjects attempted suicide,0
Rishabh Dev Dixit,RishabhDevDixi2,"When u think of me and want to talk, don't think too much talk to me..",18,5,,Nehhopefaith LiveLawIndia Abetment to suicide case should also be filed against banker when poor farmer commits,0
HIS LEGACY.,legatumsuum,"Fictive of Legacy from DSAF.  Part of a professionally diagnosed DID system. Please read my carrd before interacting.       
                 @bigdickdavetrap💍",25,24,,depression is rlly bad and so is anxiety he l p,1
Tito Toyo,damntoyo,NO MORE SORRY 2021 • Tip Your Local Squeegee Boy,909,1943,"Baltimore, MD",so national suicide prevention hotline def helped me through some hard days i thought i had no options if u need,1
𝐻,metierthoughts,,0,0,,You ever so fucking depressed you rub one out just to feel something,1
𝕰𝐒𝐀𝐈 ✞,SA1LENCE,⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ㅤ ㅤㅤ ㅤ ⠀ ⠀ ⠀ ⠀ ⠀⠀⠀ ㅤ ㅤㅤ ㅤ ⠀ ⠀ ㅤ ㅤㅤ ㅤ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀,291,560,♡︎ 𝘁 | multi |19 occ 18+ ,IVE CRACKED THE CASE the reason why i dont have friends is because im a Depressed Bitch,1
Prakash Iyer,prakashiyer,"Author, Motivational Speaker, and Leadership Coach. Passionate about people - and cricket.",411,5884,Pune,But hold on Turns out the news of his suicide was untrue It was just another urban legend with people happily so,0
damenjohn,damenjohn1,"""Power corrupts and absolute power corrupts absolutely""",309,133,,samanthamarika1 You are busy then 20 of the population is suicidal,0
Prakash Iyer,prakashiyer,"Author, Motivational Speaker, and Leadership Coach. Passionate about people - and cricket.",411,5884,Pune,And then came the news that he had committed suicide The irony was hard to miss Imagine the man who tells you do,0
Joey Keller,nwxcthJTK,"triathlons, xc, track, hockey, MOSO Ultimate",164,71,"High Ridge, MO",Anybody else been just super freaking depressed lately for literally no reason at all no just me Alright,0
Pinko in Exile,PinkoScare,Bring back the wolves. Rewild the suburbs. She/her,329,393,,Chinchillazllla People do see them Youve never been behind a livestock truck on the highway Its depressing,1
Borugod,Borugod,Imma be on the TV momma,2488,2107,,Depressed 30 yr old punches a clown,1
knives jr.,dead4ali,so sad so sexy (any pronouns),467,2783,,tmylmrosalia its depressing,1
Keytan Strong,keytanstrong,"Mother, Welder, Great Dane mom COD and activison SN KeytanfaeStrong",1376,154,"Conroe, TX",helloookrista hannahraybrown Please be careful look up fb groups about copper toxicity I loved it and had it for,1
colby,colbyjp_,"Drummer, dipshit, undercover philosophy major, and connoisseur of very bad music // Switch code: SW-7901-5248-4602 // he/him",101,126,"Vancouver, WA",If actions speak louder than words than I am not an adultDoes that make sense I cant tell if that makes sense,0
milo!,svtflw,any pronouns! 17,75,59,徐明浩; Cause I'm your home ,gn hopefully the depression is gone when i wake up,1
Solomon O. Aliyu,aliyu_solomon,Lover of Christ 🏥|| Read Civil Engineering 🏗️🏢|| Married with children 👨‍👩‍👧‍👧|| From Ilorin🇳🇬|| Principled but humane 🤗|| Jesus Christ is coming soon,578,514,"Ilorin, Nigeria",Everyone both believers and unbelievers know that theres a place after here and a sure resurrection of the deadD,0
Vanessa,nessaenr,,234,108,,i was suicidal and no one was there i think thats what gets me,1
Mamoyo😌,trist_tin,"God is always my priority, God definitely is love ,l am an engineering student.Whatever it is l promise it’s just banter ,except, #ZLM #GGMU",1989,4434,"Manchester, England",was gonna kill a couple rappers but they did it to themselvesEverybodys suicidal they aint even need my help,1
Amlan,amlan08,LFC fan,1254,229,,Fucking depressing,1
Ye olde Cookie,Cherrytreexbee,"GER/ENG 🌸
Vents n jokes ig🌸
ISFP-T🌸
She/Her",87,21,,Tired depressed and stressed the holy trinity,1
black lives matter,pimpcesap,"i am the chosen one, flowers never pick themselves - drake 📍757 to 478",291,175,somewhere in the south,Depression hitting me out of nowhere,1
Hearse 13,Hearse_13,"Hi! I'm Hearse! I'm really new to all this, especially the whole YouTube Creator thing. 😅",44,3,,My English teacher just emailed me today to ask me if Im doing okay cause Ive missed a couple classes and assignm,1
The Ugly Truth,bhairavmehta_,,62,156,,sushaantmujoo barandbench Well to murder the mother does not enhance the relationship to use the suicide for po,0
Praise Mukuruwani,ShonaChakraHun,Everything is always working out for me 😊❤️ IG: shonachakrahun,724,2660,"England, United Kingdom",I hope that guy gets the mental help that he clearly needs The suicide attempt is just the tipping point to a l,1
Elisabetta,LoudWorldTruth,Speechless!,0,871,"Las Vegas, NV",What is depressing is not whether Biden ends up being the US President but rather the treatment given to,0
Judge Judy,Judgejudyx2,Hi I talk games/memes/politics. I stream on https://t.co/ALqaQL3RWZ,57,9,,Gingitv Exorsus on suicide watch after this tweet,0
KREEZY,Katia_Rayanna,#FutureCRNA 🤑 | YouTube: KatiaRayanna | #AK4L,947,1659,"New York, NY",Ik I Beat Depression When I Listen To Kodak Testimony amp Im Smiling,0
RozTheBoss,RozTheBoss_,R6,110,19,United States,ThatKidProxy1 BradenPogue Censor f3rocitys His parents could lie they dont want to look like the bad guy for,0
Sondragon,Sondragon66,A Dragon Ball/ Anime Otaku,57,13,,I feel Lost Sad Depressed More so often then it Should be noted This Covid situation And My School problemsSo,0
Chetana Gautam,chetana_cg,If you abuse or get personal..u get blocked..idiots should not be given a chance to display their idiocy twice..that's how I help them..thank you.,518,545,,MehekF INCIndia The beauty of INC is that they speak the truthbut truth doesnt always have to be morose depress,0
Annie,Anni_314,Probably a catfish,48,7,,amanionearth If hes being serious it seems hes been blackpilled When you accept that ideology as truth with,0
Cyndi K.,Cyleki,"Hobbyist digital artist with a need to vent in 280 characters or less. Or in a reply chain, I guess.

Commissions email: cylekiart@gmail.com",344,57,"Lake Elsinore, CA",i was about to spend like 50 on shipping just to get 15 worth of melon soda it needed special packingexpedited,0
Peter Chang,deputt,"Hebrew, Coffee, Linux, Android, Samsung, WordPress, WooCommerce, CiviCRM, SiteGround, McGyverism, TuneTalk, etc.",90,56,Petaling Jaya,The Great Reset Admits Covid Lockdown Plan for Global Depression Takeover23478 viewsNov 11 2020Alex Jones,0
millernium,millerniumtwit,"Waiting are the stars, the stellar foam, Alight with cosmic flame; Be not content with an earthly home, And outwards cast your name.",1048,370,United Kingdom,USRealityCheck Richard Hopkins did not commit suicide,0
Cold,CDmahn,"Pain

















https://t.co/o0SwvB1UdK",691,167,,ScottAdamsSays almightygenie If you get suicided at least well know it wasnt a suicide,1
Unheard Voice 🦋 🦋,unheardvoice07,News Headlines | History | Economics | Opinions | Hinduism |,973,498,Bharat ,No case of abetment to suicide made out against Arnab Goswami Harish Salve tells SC,0
$hiya,hiya00700966,🏳️‍🌈.   jus talkin shit . 💯,33,22,,this bitch my happiness now she wanna act up im depressed now,1
JAVED HUSSAIN,javedhussain081,"DUSHMAN K MITANE SE MITA HU NA MITUGA..
WAISE TO MAIN FANI HU FANA MERE LIYE HAI..",5046,4607,"Delhi, India",One rule for Siddique Kappan who was doing his journalistic dutyOne rule for Arnab Goswami who is accused of abet,0
lais,j_oneji,wen qing: {wei wuxian} sorry... and thank you,86,25,,9 the adults are talking8 why ate sundays so depressing7 bad decisions6 brooklyn bridge to chorus5 eternal,0
Zack Saulness a.k.a. the Chicken Man 🐓,chickenzack,"I'm Zack Saulness, I Raise & Rescue Chickens, I Know Many Dinosaurs, I Draw And Animate Teen Titans, Super Villains, Persepolis, MLP, And I Love Claw Machines",181,20,"Bothell, WA",tarastrong YouTube Hi tarastrong please retweet my depression I have going on right now cause my beloved cat S,0
camille⁷ | @ work 👩🏻‍💻,ksjbb92,"✨#SEOKJIN: 너는 나의 지구, 네게 난 just a moon 🌙 | moarmy | she/they | 22 | acnh: @weeniehutcam",1395,1297,"seokjin’s dimple | ca, usa",hello its 10 pm but i just woke up from my depression nap n i need a drink lmfao,0
erin,erinnapricot,,1429,1319,,i did my best to console my daughter when her best friend died by suicide weeks ago now im just empty inside and,1
cris del aguila.,heavyreckless,i draw things and sometimes they move✏️✏️✏️,1061,198,earth... sometimes...,the penalty for attempted suicide is death,1
Ayu || Yua || poor for Childe,JadedEuphoria,🌻🌙Ayu🌙🌻Yua🌻🌙 || Smule: NamelessSinger || Chaotic Energy on a daily || A3! || TWST || SleepyTWT || Does art sometimes || Certified Rhode simp ||,176,58,,mintyhana im literally so depressed rn hUUUUU,1
Jamie Riffell,Riffell_17,"sports enthusiast,madden extraordinaire. Catch me on the sticks 🐺🥱",618,134,,1 suicide isnt a joke amp people struggle with the thought of this world being better without them DAILY 2 ANYBODY,0
The Haze System,in_a_haze_work,"Body is an adult.

Mixed origin trauma/endogenic and dissociative system (probably osdd1b but no idea yet)

We're polyfragmented and fictive heavy. Sysmeds DNI.",55,299,Haze's in world :3 ,Ik its the trauma and depression but its wild to me that life can hold so much meaning and wonder yet feel so empty Cinzia,0
chantal,chantelli_,full of soul and love,258,774,bay area ,Idk if its been seasonal or regular depression thats beating my ass but im being DRAGGED,0
ᵇˡᵐ ミ☆ Teddy is het for a week★✮,pastelhickson,"|💌|05-15-20| |Katie and Amalia ||💌|I cry over women and gay ships|💌| ~I she/they~Shit posts and sobbing over Hosie,SC and Raylla 24/7. Rated R ;) @f4ybye hi",2852,1315,"|backup @cyanhickson,22,⚢,ᵇˡᵐ|",Brain Hey what if we fixate on this one little thing and you become severely depressed again and you never think o,1
𝘞𝘢𝘴𝘴𝘺,HMeyElf,.,1751,633,,Its the depression mixed with procrastination foooo meeee,1
Katie Bailey,EmmaCarelli,"I am a writer and resident dreamer. Runs on coffee, music, and sarcasm. In short? A weird little nerdball. she/her demi/ace https://t.co/zZCf2fEyqw",827,719,Behind you,I got bullied for the extensive scratches and scars from my dermatillomania how I looked in general for being a n,0
Abdulaziz,officialaziz01,@realmadrid fan @mancity fan @simbasctanzania fan. SC 👻; jasen2. IG;Officialaziz01,225,681,"Dar es Salaam, Tanzania",May God give peace to every youth out there That period between 25 and 30 has to be the most worrisome part of ad,0
Kaya ⚡️,kayastrykes,Click the link below to take the survey for the #vegan food truck coming to Southside Raleigh!!! 😁 THIS IS FOR US!!!! ✊🏾,1953,2146,"Raleigh, NC",I remember you was conflictedMisusing your influenceSometimes I did the sameAbusing my power full of resentment,0
LibertasOmnium,OmniumLibertas,"God, Family, Country. Against all enemies. Semper Fi",157,53,,SatoshiMed Look up the Joesph Goebbels quotes Starting to think maybe he didnt suicide himself amp came over with,1
Health Tech Watcher,_HealthWatcher,"Health Tech & IT, mHealth news (all accounts are followed manually by @_trendspotter)",16,180,Cologne,VHA Ontrak partner to improve postdischarge suicide prevention among veterans MedCity News,0
sydney 🐝🏳️‍⚧️,CherryB0mbAnon,"🔶, profile pic is in website, antimap/zoo, if I see you calling maps/zoos psychopaths or anything like that, I will call you out. use tone indicators please.",788,310,Tw/ baby dolls and horror,Diagnosed autism adhd depression Self dxed mood disorder some form of tic disorder,0
Partha Mukherjee🚩🚩,viratian_partha,"Proud Indian.
New Emmanuel Macron Fan
🇮🇳 Cricket. Virat Kohli.
Love making new friends.",388,451,ভারতবর্ষ/भारत/India,SGanguly99 BCCI JayShah ThakurArunS Thank you dada bcci IPL The pandemic depression was too much to handle,1
Semiemic,Semiemic,"Grinding for @TeamBH_. 30 plus subs, and here’s my YouTube Channel: https://t.co/HXFbG3D3zG #BHTop8",98,49,,childyeet FortniteStatus Nigga just said depression,1
Morgan || local dumbass,hazard_crew,"(companion passive: when following on twitter, you gain +10% humor, +20% fandom content and +70% shitpost added to your feed.) || DMs open!",202,58,he/him | 17,dont wanna be horny no more dont wanna be depressed i just wanna get married and settle down with a nice girl and l,1
Lucy Morieson,tiny_professor,"I'm a journalism researcher, lecturer and content creator of two cheeky boys.",491,422,"Melbourne, Australia ",meaghano I also have my own depressing origin story thankyouverymuch,1
michael king. mike,michaelking35,"Psychology doctor PhD
No hero, US Army paratrooper
33.5 million contact views 
 https://t.co/f2afzT0r0m
mike king
single unimpressed
23,000 tweets
26,000 Quora answer",4787,3382,area 51 Nevada,RonaldP96617678 FamilyMindedcom Lol pulled the country out of the depression You propagandists need to read a tad more,0
reply guy,still_suicidal,,1002,82,,kittypurrzog Shure SM7B It was good enough for Michael Jackson,0
ًkaryl,yeunryl,⠀⠀⠀⠀⠀— ## ryl 🐻‍❄️ ; she + her // a filo minor !! ☻,1044,1090,this person is so attached to anime characters that she's hopeless to find true love in real life so don't hit her up or she'll end up in pain. ,ASHL1NK DAZAI IS SUICIDAL BC THE REAL DAZAI IS ALSO SUICIDAL,0
m.s,exbombaysapper,"An Indian Army, Corps of Engineers veteran.",182,91,,kakarharsha 22 in servicereduced pensionopening fr second inning at around4550 yrs of age is not so easysu,0
pillow pr*ncess,mrscuntreras,♡ probably somewhere zoned out ♡ ig:strawberriclauds,911,486,,depression,1
AB💕,raexraeya,19,343,366,,When my hair not done I just dont be feeling it hair depression real,1
"Haider Ali Khan, حيدر علی خان",khanhaider,"Deputy Editor| @MyMobileMag| Ex- @BWBusinessworld| @IIMC_NewDelhi| Writes on Tech| Love Politics, Sports, Aviation, Movies| Bhojpuria| Tweets Personal",563,333,"New Delhi, India",Money and contact buy justice for you The notsocurious case of ArnabGoswami listed for urgent hearing on daily,0
amy🦋,axkiiss,,1519,1189,mind your business ,being home all day really makes me depressed idk if its just me but I rather hangout with friends or just drive around,1
hungry by nature,foodieventurer,,337,501,,Bloody ink on my pad spelled suicide MJ even passed cause you scrutinized fuck Illuminati lies say Im lucified b,0
sree⁷🧋,flexkth,"#뷔 — pretty boy in pretty berets ♥️
she / her ★ @galaxypjmn @taetaenabby ⠀⠀⠀",4280,5701,16 : carrd on the making !,if there is anything called post kdrama depression im going through it rn,1
‎〝✰alyfia,jisungpwaaarkkk,"☆ﾐ #JISUNG : the thing is, there are no escapes for falling for you🕊*ೃ༄",3429,4916,# she/her,all the kids are depressed,1
Misha✨ @ still writing forever,mishacak3s,webcomic artist and fairy tale enthusiast 💖🏳️‍🌈✨ welcome to the variety power hour ✨ mostly OCs and Alice nonsense https://t.co/zA4q8RjNNO,1091,4589,,we were all depressed closeted gays in seattle suburbia but damnit we knew how to party,1
वंदे मातरम्,deepaksingh83,हिंदुस्तानी!!,2145,6145,"Delhi, India",Why he is talking about TRP Scam His arrest was related to one of suicide case,0
Dee💛,daivony_,photographer 📸 • writer ✍🏾 • USAF AIRMAN ✈️ • 🏳️‍🌈• Markiyah‘s wife 💍,136,157,,check on yall ppls with depression man Im sick asf rn,0
Imaginative Bikkun,Biccykun,"Comic nerd, fan of Japanese wrestling (DDT), anime lover, gamer. He/him. Gay. I post a lot of Yakuza and comic game stuff, sorrynotsorry.",650,158,,TomTaylorMade peterjordan100 DCComics Next question and please answer because my frustration is infiniteIs th,0
Clarice (´･ω･`),_Sneezers_,"“goodnight, princess peach”",58,55,"Ohio, USA",IM READY FOR THIS SEASONAL DEPRESSION,1
𝓅 𝓋𝓁𝒶𝒹ℴ✨🥂🥥💖,pasharockyzz,you’s depress me,293,308,bored,yous ever watch a show but like it puts in you literal depression but you like the show but then your just depressed or only Im that dumb,1
❄️🕷️Miri✡️🕎,DykescoSpider,"I lived, bitch. Play Onimusha Warlords.",812,934,She/Her ✩ Lesbian ✩ Jew ✩ 18,I am very extremely depressed this week for some reason and I really hate it,1
Coolt605🚀,CoolT605,"Stan @Shbzz
🎮Gamer
📽️Streamer
💼CrossFire Esports Owner
🏆1x LAN Event Champion
@CrossFire_Clan
Certified @SpacestationGG fan🚀🚀
Duo: @RIPKB3",1578,306,Texas  Y'all,You made me actually suicidal,1
ًkaryl,yeunryl,⠀⠀⠀⠀⠀— ## ryl 🐻‍❄️ ; she + her // a filo minor !! ☻,1044,1090,this person is so attached to anime characters that she's hopeless to find true love in real life so don't hit her up or she'll end up in pain. ,akikonigiri THE REAL OSAMU DAZAI WAS ALSO SUICIDAL KDDHDJDH,0
Grant Kegel,Grandrewk,"Aspiring Writer/Comedian, Hacky Sack Champ ‘09.",146,81,,Pretty depressed thinking about the powerful and inspiring modern tradition of presidents leaving letters for each,0
alhasan,frmgold,Filmmaker,767,2272,Birmingham,me being awake at almost 6am because I havent slept instead of waking up means the season depression is really kicking in,1
Annie,Anni_314,Probably a catfish,48,7,,amanionearth If hes being serious it seems hes been blackpilled When you accept that ideology as truth with,0
Yo$hi 🌹📸,yoshiyue,• #blackfemalephotographer • #yuefilms 🌱 • she/her,378,511,"Lake Arbor, MD",twitter not on funny things tonight only sad depressing amp relationship shitim trying to boost my mood but its hard fr,0
𝑇𝐼𝐴𝑁𝐴💫| 𝐴𝐶𝐴𝐵 | 𝐵𝐿𝑀,idfwubruuuh,707x916🤣| 𝑎𝑚𝑜𝑠𝑐: 𝑝𝑖𝑚𝑝𝑑𝑎𝑑𝑑𝑦𝑡𝑖𝑎𝑛𝑎1,65,54,,my depression getting worse,1
Rolf (Ceo Of Honor),daniyarmurzagu6,"Life has many doors, Ed Boi! (Parody). I do not own any art and not affiliated with Cartoon Network. Rolf also has OCD and ADHD problems. Rolf is minor.",1801,630,Rolf's Shed,VegetaParody1 Rolfs is now depressed,1
Riley 🍯✨,rileyysteckert,,259,246,,Seasonal depression has hit,1
Taqweem Abbasi,AbbasiTaqweem,एक-साथ आना एक शुरूआत है। साथ रखना प्रगति है। साथ मिलकर काम करना सफलता है।  @RMASindia,39,9,,HDFCBankCares You are making fool to customers You dont care about your customers if they will do suicide,1
hailey ♡,gxxthy,✧ || she/her || ✧,62,44,i really hate it here,twsuicide i think i dunno i wanna be able to jump off a roof and just get up like nothing happened,1
𝐕𝐢𝐠𝐢𝐥,707Mask,❝ 𝙎𝙝𝙚 𝙡𝙞𝙠𝙚𝙨 𝙢𝙚 𝙗𝙚𝙘𝙖𝙪𝙨𝙚 𝙖𝙢 𝙚𝙙𝙜𝙮. 𝙞𝙨𝙣'𝙩 𝙩𝙝𝙖𝙩 𝙧𝙞𝙜𝙝𝙩.... @RUNBUTC4NTH1DE,309,303,,Shell suffer with depression,1
A2M,A2M29759451,Consistently Inconsistent,26,3,,red90rover YourAlberta 376 deaths 26407 recovered 14 fatality rate as of today in Alberta But lets worry,0
SauceKay 🥀,PatekWaterBndr,if a girl tell you she cares about you. she’s just lying to your face,377,191,Da Crib University 21',I had 6 mental breakdown today and been feeling nothing but anxiety and depression but Im so glad I got to play 2,1
Jeremy,justajeremy39,"Sports, sports betting, food, music, comedy, pop-culture, & politics. Opinions are mine alone. Be good, do good, if u can, most people can't.",339,54,"Las Vegas, NV",CristenDrummond 8NewsNow GovSisolak SuptJaraCCSD ClarkCountySch This is heartbreaking I dont know the detail,0
Kristen Ⓥ🌱🥑🏈,KristenLynn6912,Book lover seeking a career in publishing. 📖 Vegan. 🌱 An activated activist. 😚 Empathy is cool. 💜,1010,196,New York City,When you are facing the twoyear anniversary of your maid of honor and close childhood friends suicide and basica,0
mya ❄️,mayoshinos,"I’m just here for cute anime whores.. they/them • cosplayer » ♥ rei, mayoi and rinneP • pls read my carrd!",280,213,,sigh I still have depression tho so thanks for nothing genshin lol,1
ameri,ameriwheeler,,167,53,,lucasblanken come hang out in LA and be depressed with us,1
A ⁷,ananyaasuresh,jin cult member,193,138,,honeysinghhh Then they will go back to being depressed,1
acu ❥,stonedisa,𝚠𝚊𝚔𝚎 𝚖𝚎 𝚞𝚙 𝚠𝚑𝚎𝚗 𝚒𝚝’𝚜 𝚊𝚕𝚕 𝚘𝚟𝚎𝚛,465,342,𝒔𝒉𝒆/𝒉𝒆𝒓,im depressed and stressed,1
:(:,locxz7,ding dong ur opinion is wrong,81,81,She/her,i wake up and my silly little brain just does the silly little depression,1
LEGIT NEWS NETWORK,LNN_News,"It's news to us! Updates twice an hour, every hour. You're welcome.",0,165,The World,EXCLUSIVE Actress murdered for commiting suicide at recent PPV event President gives 2 thumbs up as praise,0
finch 🌙 (they/them),finchkiss,instead of brain there is turkey ✨bi✨6’2”✨agender✨writer✨20✨ i talk abt adult and nsfw things so be prepared lol,429,105,"Athens, GA",Called the suicide prevention hotline lmao,0
alejandro,bettyelfeo,libre perdido y en ayuna 🇨🇴 words in @nyunews @classismexposed (he/el),179,745,,to be fair my face looked crazy that day depression is a bitch,1
Cloutcaptor Sakura,highlordsix9,lost interest in life so I open Pokémon cards on YouTube,392,32,,Ibenchaux DianaHollins BBCLondonNews suicide is more of a mental issue than a decision idk about you but I like,1
Bryan Smart,SmartVO,"Widower, father of four. Teacher, audiobook narrator, and writer. Music, guitar, comics, RPGs, and living. Writer and publisher @AWPress.",1997,1011,Oregon,Started tonight with depressing unplugged rock Then continued with angry angsty rock Now Im onto straight up hea,1
Yetsy❥,nunez_yetsy,Disfruta la vida 🤟🏼,373,317,,No one ever comes to visit me nd its kinda depressing,1
Dumbass,GirIwithLxve,💕 Monsta X 7/24/17 💕 ❣️BTS 10/06/18❣️ 💗 NCT 127 5/3/19 💗,187,624,☹ Hell,2014 me can go fuck herself dead ass why you so depressed bitch damn,1
Jeffy Ramalho PSY 101,jeffyramalho_,Online University/ I am studying psychology and you?/ 👋🏻 Hey guys! This is the mother of study with me videos - real-time study with me.,16,11,,Guilty Pleasures Are Just Pleasurespsychology mentalhealth love therapy,0
coni,Conicotine,la que hizo zoom call con cate blanchett y abrazó a florence welch | gaga supremacist | musicals,496,2016,"Buenos Aires, Argentina",woman takes a break from depression para escuchar artpop,0
MsKittyResist,MsKittyresist,#ChronicPainIsHell 🌊🌊#LoveThruTheEyesOfAChild #mom2to3🦋 #Meme2to7🦋#Covid19IsNotAHoax #InAFightForTheSoulOfOurNation #resistance #FBR #BidenHarris,4714,3646,"Decatur, AL",DrBiden Dr Biden I am one of many CPPs who suffer daily because of the CDC FDA HHS guidelines they created these,0
lyssa,LyssaShulyssa,"The A”s in my name stand for , amor de tu vida",937,1094,,JovanMoniqueee Its triggered the FUCK OUT of my depression but we gotta keep going mama,1
Rosalie ✍️,RoseIsRational,"We care about others, or we don’t. It really boils down to that. She/her #HandMarkedPaperBallots NO LISTS",2019,1851,"Oregon, USA",degrazia ReallyAmerican1 He and his mistress had been executed by firing squad after capture in the mountains abo,0
Nikko Moreno,nikkolasduh,stitched lips is my suggestion if they askin questions,545,883,lurkin,my search history is so depressing,1
❄️🕷️Miri✡️🕎,DykescoSpider,"I lived, bitch. Play Onimusha Warlords.",812,934,She/Her ✩ Lesbian ✩ Jew ✩ 18,Fuck I hate clinical depression,1
WINNIE MANGWENDE,ilovephotocall,IAMNOTAPROTOTYPE. Victim of US  Military Nonconsensual Mind Control- MKUltra - V2K - Sleeper Cell - Terrorism grooming - Manchurian Candidate since 2013 - 🇿🇼,5721,6514,"Oldbury, United Kingdom",I have been woken up every 30min1hr since my last tweet 3hrs ago Which means US Military are deliberately sleep d,0
Travis Bunn,travisabunn,"i am single! I am sweet heart! I love truck & car show, work on vehicle!
Snapchat: sportss1099
Instagram: travisbunn.chevyguy
YouTube: Travis Bunn deaf",866,121,"Fort Smith, Arkansas",i did i got tried a applied a job for part time maybe full time i dont know why i had ssdi every months suck I,0
